Market,Ticker,Price,Mansfield_RS,Dist_Above_MA_Pct,MA_Slope_Pct,Sector,Industry
US,IPSC,2.25,43.548503541991536,4.732350581939063,13.221101477335843,Healthcare,Biotechnology
US,LITE,732.8200073242188,41.60817202021765,4.199628383865392,11.006401429760968,Technology,Communication Equipment
US,IBRX,7.679999828338623,41.433235366667475,8.897551354823722,14.292804051984684,Healthcare,Biotechnology
US,VIAV,38.15999984741211,33.4998906028184,4.533624967110153,11.82121169317166,Technology,Communication Equipment
US,OSS,12.619999885559082,30.333466556125654,8.91203002380315,12.73517038281185,Technology,Computer Hardware
US,TTMI,132.0,27.50871514358455,3.554318691117766,12.965994650577603,Technology,Electronic Components
US,PRAX,314.4100036621094,27.19467510399567,0.5420281256104857,4.392177882928807,Healthcare,Biotechnology
US,AMKR,62.93999862670898,26.3596298037454,6.655903458006318,9.975725205580485,Technology,Semiconductor Equipment & Materials
US,ARWR,74.30000305175781,25.82313852521285,7.342025223207305,4.938985106382399,Healthcare,Biotechnology
US,AXGN,39.84999847412109,24.957866773539727,8.004332522870673,5.861414870563967,Healthcare,Medical Devices
US,DSGN,12.56999969482422,24.759989526108118,9.98016558787824,6.582477205645684,Healthcare,Biotechnology
US,CRVS,14.899999618530272,23.58743863763586,3.170112904933929,6.6448937902718335,Healthcare,Biotechnology
US,TER,322.3550109863281,22.54715335670483,0.07441965861357841,10.31271157823894,Technology,Semiconductor Equipment & Materials
US,GLW,154.61000061035156,21.508088293787896,3.1684703349771284,11.875254330455537,Technology,Electronic Components
US,KEYS,315.8999938964844,21.199048580075154,8.240533750304312,7.443435373727786,Technology,Scientific & Technical Instruments
US,TALK,5.210000038146973,21.168651561225758,8.49646136414982,6.4209356007846345,Healthcare,Health Information Services
US,SKYT,31.36000061035156,21.098807773020447,0.5332292981368715,9.421784496301761,Technology,Semiconductors
US,NEOG,10.270000457763672,20.593796676867292,9.328985599088009,5.812427202426082,Healthcare,Medical Devices
US,VIR,9.43000030517578,20.041877063880854,9.367151240901254,6.792438146835635,Healthcare,Biotechnology
US,ANNX,5.800000190734863,19.565802507579843,5.5953422727152695,2.3789298074986616,Healthcare,Biotechnology
US,BKD,15.010000228881836,19.20581871933131,8.726097892688324,5.041529642761089,Healthcare,Medical Care Facilities
US,ON,87.37000274658203,19.010513612101242,6.926939789310593,9.177579423376423,Technology,Semiconductors
US,ROG,132.24000549316406,18.758015411338658,9.878913146890229,8.288002714642062,Technology,Electronic Components
US,SLAB,217.47000122070312,18.473070368653577,9.538465151955704,7.237251953985879,Technology,Semiconductors
US,DIOD,87.0199966430664,18.263979036822686,6.756410304189059,10.559912520385781,Technology,Semiconductors
US,NOK,10.119999885559082,18.14480532607554,0.9879243364763609,10.068855092220124,Technology,Communication Equipment
US,SNEX,102.98999786376952,17.35016978862136,8.086895198579754,10.790731760017234,Financial,Capital Markets
US,HIMX,12.800000190734863,17.059178518390116,9.206919568993746,9.45035834774063,Technology,Semiconductors
US,ZURA,5.449999809265137,16.981523875385452,2.29618601771056,3.3347931666768025,Healthcare,Biotechnology
US,ENTG,138.74000549316406,16.213096182242246,6.83460838006492,9.112680946514837,Technology,Semiconductor Equipment & Materials
US,ADEA,25.3799991607666,16.083138695679743,2.9831221965765606,11.320052672680195,Technology,Software - Application
US,TCMD,28.739999771118164,15.788557899987099,5.883002483414562,1.3213887056196811,Healthcare,Medical Devices
US,INBX,87.38999938964844,15.567922438613069,0.8629340189882064,1.6396912518370645,Healthcare,Biotechnology
US,LFUS,397.75,14.381948434886338,5.897918861531154,7.937852644781604,Technology,Electronic Components
US,MRK,127.5,14.102040565538164,9.684743611027944,3.7297383988025783,Healthcare,Drug Manufacturers - General
US,ADI,375.3599853515625,13.911060553521025,6.084113355348335,6.09840849858584,Technology,Semiconductors
US,AKAM,120.19000244140624,13.728506746835611,7.32559784401334,4.781238531873317,Technology,Software - Infrastructure
US,SANM,197.2400054931641,13.590474481448211,6.911912610920434,5.972374105251147,Technology,Electronic Components
US,GFS,57.47999954223633,13.219881774680452,1.3901514714991257,10.460134759390995,Technology,Semiconductors
US,TSM,398.3699951171875,12.379912538857528,6.372446165227749,6.484560611170008,Technology,Semiconductors
US,IMNM,22.31999969482422,12.337582972376037,2.369667085577697,1.568567244376647,Healthcare,Biotechnology
US,CTS,59.400001525878906,12.066811540616463,8.030776506055519,5.796384614742246,Technology,Electronic Components
US,FCFS,213.6100006103516,11.419986377231206,7.150273925484503,5.169490857747681,Financial,Credit Services
US,SNDX,22.799999237060547,11.05110369560145,6.781563281423256,1.5330332606068855,Healthcare,Biotechnology
US,NKTR,68.26000213623047,10.789790264557997,6.219204640197802,2.9233883466138133,Healthcare,Biotechnology
US,JNJ,253.0399932861328,10.326814188099597,8.666581579287865,3.4068563745344878,Healthcare,Drug Manufacturers - General
US,BIIB,205.9900054931641,10.08889211598143,8.87018228884757,2.5770713863778214,Healthcare,Drug Manufacturers - General
US,AVIR,4.869999885559082,9.929741068881558,2.7642950013601517,5.739607133703325,Healthcare,Biotechnology
US,MPWR,1312.0,9.633580787462925,2.832364076331915,5.753689275169063,Technology,Semiconductors
US,UMAC,16.93000030517578,9.531234673019018,0.42908385579968805,10.821979757039404,Technology,Computer Hardware
US,CTNM,14.229999542236328,8.911602933665353,6.735670887115079,3.556605542602747,Healthcare,Biotechnology
