Fund Holdings as of,"06/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","5,338,158.00","0.78","5,338,158.00","3,283.00","1,626.00","France","Nyse Euronext - Euronext Paris","EUR"
"G","ASSICURAZIONI GENERALI","Financials","Equity","5,135,231.67","0.75","5,135,231.67","114,549.00","44.83","Italy","Borsa Italiana","EUR"
"SAMPO","SAMPO CLASS A","Financials","Equity","4,956,173.71","0.73","4,956,173.71","517,562.00","9.58","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"GEBN","GEBERIT AG","Industrials","Equity","4,832,725.05","0.71","4,832,725.05","8,017.00","602.81","Switzerland","SIX Swiss Exchange","CHF"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","4,738,391.66","0.70","4,738,391.66","77,345.00","61.26","United Kingdom","London Stock Exchange","GBP"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","4,631,406.53","0.68","4,631,406.53","5,992.00","772.93","Switzerland","SIX Swiss Exchange","CHF"
"GIVN","GIVAUDAN SA","Materials","Equity","4,579,282.00","0.67","4,579,282.00","1,264.00","3,622.86","Switzerland","SIX Swiss Exchange","CHF"
"ATCO B","ATLAS COPCO CLASS B","Industrials","Equity","4,398,314.34","0.65","4,398,314.34","261,962.00","16.79","Sweden","Nasdaq Omx Nordic","SEK"
"KNEBV","KONE","Industrials","Equity","4,109,159.52","0.60","4,109,159.52","80,007.00","51.36","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"SSE","SSE PLC","Utilities","Equity","4,091,019.64","0.60","4,091,019.64","147,496.00","27.74","United Kingdom","London Stock Exchange","GBP"
"HO","THALES SA","Industrials","Equity","3,422,865.60","0.50","3,422,865.60","12,936.00","264.60","France","Nyse Euronext - Euronext Paris","EUR"
"SIKA","SIKA AG","Materials","Equity","3,356,160.55","0.49","3,356,160.55","16,397.00","204.68","Switzerland","SIX Swiss Exchange","CHF"
"VACN","VAT GROUP AG","Industrials","Equity","3,335,505.71","0.49","3,335,505.71","4,914.00","678.78","Switzerland","SIX Swiss Exchange","CHF"
"NXT","NEXT PLC","Consumer Discretionary","Equity","3,248,177.33","0.48","3,248,177.33","17,706.00","183.45","United Kingdom","London Stock Exchange","GBP"
"IMB","IMPERIAL BRANDS PLC","Consumer Staples","Equity","3,232,051.64","0.48","3,232,051.64","100,351.00","32.21","United Kingdom","London Stock Exchange","GBP"
"A5G","AIB GROUP PLC","Financials","Equity","3,227,692.62","0.47","3,227,692.62","294,095.00","10.98","Ireland","Irish Stock Exchange - All Market","EUR"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","3,158,302.74","0.46","3,158,302.74","128,022.00","24.67","Italy","Borsa Italiana","EUR"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","3,127,260.01","0.46","3,127,260.01","2,678,916.00","116.74","United Kingdom","-","GBP"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","3,079,768.22","0.45","3,079,768.22","67,647.00","45.53","United Kingdom","London Stock Exchange","GBP"
"DGE","DIAGEO PLC","Consumer Staples","Equity","3,072,589.31","0.45","3,072,589.31","151,924.00","20.22","United Kingdom","London Stock Exchange","GBP"
"MTX","MTU AERO ENGINES HOLDING AG","Industrials","Equity","3,046,402.40","0.45","3,046,402.40","8,152.00","373.70","Germany","Xetra","EUR"
"HNR1","HANNOVER RUECK","Financials","Equity","3,033,848.00","0.45","3,033,848.00","12,020.00","252.40","Germany","Xetra","EUR"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","2,927,854.83","0.43","2,927,854.83","32,338.00","90.54","Switzerland","SIX Swiss Exchange","CHF"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","2,615,739.60","0.38","2,615,739.60","12,043.00","217.20","Netherlands","Euronext Amsterdam","EUR"
"REP","REPSOL","Energy","Equity","2,582,127.74","0.38","2,582,127.74","101,419.00","25.46","Spain","Bolsa De Madrid","EUR"
"TEL2 B","TELE2 B","Communication","Equity","2,468,364.02","0.36","2,468,364.02","163,419.00","15.10","Sweden","Nasdaq Omx Nordic","SEK"
"ELE","ENDESA SA","Utilities","Equity","2,346,594.91","0.34","2,346,594.91","55,253.00","42.47","Spain","Bolsa De Madrid","EUR"
"SGE","THE SAGE GROUP PLC","Information Technology","Equity","2,324,354.64","0.34","2,324,354.64","193,783.00","11.99","United Kingdom","London Stock Exchange","GBP"
"WRT1V","WARTSILA","Industrials","Equity","2,276,842.08","0.33","2,276,842.08","77,761.00","29.28","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"EQT","EQT","Financials","Equity","2,106,424.26","0.31","2,106,424.26","67,130.00","31.38","Sweden","Nasdaq Omx Nordic","SEK"
"ENX","EURONEXT NV","Financials","Equity","2,085,576.00","0.31","2,085,576.00","12,970.00","160.80","France","Nyse Euronext - Euronext Paris","EUR"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","2,066,956.68","0.30","2,066,956.68","1,931,826.00","107.00","Switzerland","-","CHF"
"ALFA","ALFA LAVAL","Industrials","Equity","2,039,023.10","0.30","2,039,023.10","38,996.00","52.29","Sweden","Nasdaq Omx Nordic","SEK"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","2,025,990.06","0.30","2,025,990.06","29,718.00","68.17","United Kingdom","London Stock Exchange","GBP"
"EPI A","EPIROC CLASS A","Industrials","Equity","2,009,017.90","0.30","2,009,017.90","86,997.00","23.09","Sweden","Nasdaq Omx Nordic","SEK"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Equity","2,005,229.96","0.29","2,005,229.96","70,162.00","28.58","Italy","Borsa Italiana","EUR"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","1,996,453.92","0.29","1,996,453.92","9,325.00","214.10","Switzerland","SIX Swiss Exchange","CHF"
"BEAN","BELIMO N AG","Industrials","Equity","1,978,793.86","0.29","1,978,793.86","2,153.00","919.09","Switzerland","SIX Swiss Exchange","CHF"
"AGS","AGEAS SA","Financials","Equity","1,956,060.40","0.29","1,956,060.40","26,362.00","74.20","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","1,830,951.28","0.27","1,830,951.28","163,041.00","11.23","United Kingdom","London Stock Exchange","GBP"
"WISE","WISE PLC CLASS A","Financials","Equity","1,811,130.29","0.27","1,811,130.29","169,412.00","10.69","United Kingdom","London Stock Exchange","GBP"
